,SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistName,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,mbID,ArtistFamiliarity,Hotness,end_of_fade_in,key,keyConfidence,Loudness,mode,mode_confidence,start_of_fade_out,ArtistLower,SongLower
7566,7567,SOAFZGF12AB01823ED,536785,Stories From The Heart,ARTCO131187B9B9ADB,Bob Carlisle,252.00281,0,0.605,147.576,4,0.719,I Will Shelter You,0,134ab384-5fa8-45d6-8052-876d0e4790a2,0.563583586258,0.388527293306,3.564,0,0.605,-7.853,1,0.756,237.32,bob carlisle,i will shelter you
7567,7568,SOKRRQW12A8C13F94B,225016,Vinícius em Portugal,ARVEFIT12086C1686D,Vinícius de Moraes,157.30893,5,0.509,103.682,3,0.758,A volta da mulher morena,0,1c01cf84-07c7-408a-b5a8-7dae0b1312fc,0.526880371691,0.348462172045,0.328,5,0.509,-16.216,0,0.589,154.587,vinícius de moraes,a volta da mulher morena
8271,8272,SOGOMGW12AB0188626,769192,Mi Padre Querido,ARP07GD1187B9B9DA4,Los Originales De San Juan,196.93669,0,0.632,229.221,4,0.862,Con La Misma Tijera,0,0ef70a3e-fcd9-4de2-bfc9-a3e5ce99f380,0.648902582007,0.440835006713,0.273,0,0.632,-7.445,1,0.569,191.983,los originales de san juan,con la misma tijera
2,3,SOIJPPR12A6D4F3945,85554,Wolfgang Amadeus Mozart: Requiem Mass_ K 626_ 1791,ARYISOC1187B9998F1,Choir & Great Symphony Orchestra of the All-Union Radio_ N. Shpiller_ S. Krassovsky_ V. Gagarina & N,541.23057,9,0.0,109.051,4,0.271,Requiem Mass_ K. 626_ 1791: Agnus Dei (Larghetto) (Mozart),0,7a4be8a7-ed4e-4be2-8f88-354d164f573e,0.48448555785,0.373952779351,0.827,9,0.0,-15.586,1,0.0,537.24,choir & great symphony orchestra of the all-union radio_ n. shpiller_ s. krassovsky_ v. gagarina & n,requiem mass_ k. 626_ 1791: agnus dei (larghetto) (mozart)
41,42,SOOMWCA12AB01834ED,662656,The Final Chapter,ARDQO721187FB3C6D9,Rodney O & Joe Cooley,230.84363,11,0.417,90.071,4,1.0,Murda',0,2ba29f11-6321-451f-934d-3f63b3930ce3,0.4157846077,0.307902093869,0.34,11,0.417,-16.376,1,0.506,215.742,rodney o & joe cooley,murda'
12,13,SOTHGTJ12A8C13399D,391347,Cherry Pie,AR261YW1187FB374B3,Warrant,201.03791,4,0.169,177.152,4,0.076,Cherry Pie,0,a00df488-9c2c-494a-a46c-840cb153302a,0.696450939342,0.489149816628,7.297,4,0.169,-4.65,0,0.0,198.177,warrant,cherry pie
15,16,SOBBDPK12AC3DF6CB3,603540,Second Hand Life: The Deluxe Edition,ARS6HDE1187B99CA29,Joe Lynn Turner,274.12853,3,0.807,106.896,4,0.574,Second Hand Life,0,47cd459b-06c1-462f-8fdd-27721a03ef68,0.620041694718,0.364975595396,0.258,3,0.807,-5.912,0,0.662,255.849,joe lynn turner,second hand life
9984,9985,SOCAMQU12AB0182111,420045,Dirt Low,ARW90Y31187B98FC7C,Pinchers,229.01506,11,0.165,92.01,4,0.769,Don't Do That,0,8dc3c6f8-1c44-4e0b-b17b-de6650e43c19,0.558384455186,0.340632714452,2.368,11,0.165,-13.229,1,0.24,216.474,pinchers,don't do that
9990,9991,SOSXQPZ12AB01800CB,443821,Ministry of Sound Presents Chilled II 1991-2009,ARVVZ6Q1187B98D05D,Olive,211.35628,5,0.381,135.111,4,0.058,You're Not Alone,0,91e760fa-98f4-4122-a1e6-c980473fccce,0.607562417426,0.434607401264,0.0,5,0.381,-10.616,1,0.306,197.033,olive,you're not alone
9991,9992,SOEWQUV12A8AE46AA4,279150,Rockabye Baby - Lullabies with Orchestra,AR3AIEI1187B992D8D,Marilyn Horne,164.62322,10,0.342,59.863,5,0.785,Mighty Lak' a Rose,0,471087d4-3438-4f55-bb37-89cfe042b300,0.445858670853,0.312044455676,5.01,10,0.342,-25.677,0,0.544,147.11,marilyn horne,mighty lak' a rose
9993,9994,SOKYTFZ12AB0189A73,648603,17 Again,ARJJKAA1187B9ADAF1,Rolfe Kent,48.69179,1,0.0,69.986,1,0.0,Mark Practices,0,fc31ddde-0030-4cc3-9180-5cc4e7004fef,0.549033905412,0.376664105858,2.368,1,0.0,-26.128,0,0.0,43.984,rolfe kent,mark practices
9994,9995,SOJGPHT12A6D4FA2BF,57377,Footprints,ARC0MTS1187FB44C21,Toots Thielemans,181.55057,5,0.386,121.971,3,0.625,The Windmills Of Your Mind,0,20404789-b0f3-43de-bbe1-f4fe39e83e87,0.641172817621,0.436769069709,2.264,5,0.386,-18.006,1,0.322,172.669,toots thielemans,the windmills of your mind
9996,9997,SOBNDJL12AB01806C3,463653,Riddim Driven: Caribbean Style,ARTTFAQ1187B98E4FA,Kiprich,186.17424,2,0.389,101.214,4,1.0,Hot Girls,0,97657a5d-537a-431d-acd6-523cba7c0c8a,0.55887829209,0.388939765813,0.0,2,0.389,-6.504,1,0.417,180.762,kiprich,hot girls
9997,9998,SOIUVCM12AB0186D78,706252,Living In A Dream,ARWV0Q11187FB4CDCE,Arc Angels,320.31302,2,0.293,120.032,4,1.0,Crave and Wonder,0,0bccb6e4-b43b-4b3c-ac1c-1f4b065f6edc,0.588932085853,0.349366361109,0.0,2,0.293,-5.521,1,0.518,315.472,arc angels,crave and wonder
16,17,SOQEUVL12A8C133AC2,286538,Somebody Bigger Than You And I,AR4GP451187FB3F2BB,Andy Griffith,179.93098,2,0.396,100.018,4,0.0,Just A Closer Walk With Thee,0,771bd654-80dd-44a0-bb77-5e09947c9082,0.516873683434,0.310600343688,3.094,2,0.396,-16.334,1,0.568,173.105,andy griffith,just a closer walk with thee
5521,5522,SOZMGEI12AB018DA91,670712,One Night In Madrid,AR2MEUK1187B992D1B,Jeff Scott Soto,298.05669,10,0.0,180.974,4,0.122,Colour My XTC,0,9946e322-2eb6-43dd-ae66-dd28114f1522,0.606193496106,0.407344288039,0.0,10,0.0,-4.304,0,0.288,295.184,jeff scott soto,colour my xtc
5677,5678,SOQYBYY12AB01823A2,407754,Die besten Tage sind gezählt,AR2P71H1187B9B8C00,Kool Savas,64.62649,6,0.083,90.148,4,1.0,Therapie,0,2e0d05e0-d147-46e6-be51-8ffed2a9e0da,0.603382767951,0.449423634694,0.0,6,0.083,-3.985,0,0.488,64.626,kool savas,therapie
5678,5679,SOYQKVM12A8C137ED7,199914,Gipsy Rumba 2,AR6Q6PN1187B9A01E1,Los Fernandos,187.95057,4,0.126,103.432,4,0.0,All My Loving,0,bb89afe4-81e8-45af-87bc-032703b7a953,0.188667694917,0.0,0.274,4,0.126,-11.516,1,0.446,184.227,los fernandos,all my loving
5680,5681,SOZAXOL12AB017E467,544754,Princess,ARVFGPJ1187B9A2477,Michelle & Vickie,279.19628,0,0.391,94.276,4,1.0,Ying Guang Hu Die,0,ac2a890e-d620-4dd7-861f-0e89ca0877ac,0.368404326732,0.261816097451,0.224,0,0.391,-8.78,1,0.51,272.579,michelle & vickie,ying guang hu die
5683,5684,SOLMLUW12AB017D7E0,628421,Ultimate Classical Chill Out,AR3AIEI1187B992D8D,Marilyn Horne / Wiener Opernorchester / Henry Lewis,391.70567,1,0.478,106.504,4,0.499,Mon coeur s'ouvre à ta voix,0,471087d4-3438-4f55-bb37-89cfe042b300,0.445858670853,0.312044455676,8.237,1,0.478,-20.082,1,0.468,379.786,marilyn horne / wiener opernorchester / henry lewis,mon coeur s'ouvre à ta voix
37,38,SOBHGGX12A8AE45557,278560,Seasons,ARGFVP41187B99296B,Max Melvin,262.79138,1,0.491,100.01,4,0.718,Someday,0,ac602ca1-584d-4e3d-801b-648aa05ba7ae,0.468080669053,0.344290296121,3.767,1,0.491,-9.199,0,0.443,252.302,max melvin,someday
75,76,SOKAWBI12AB018277B,455723,Las Mejores Gaitas Vol.3,ARK71TS1187B9902B0,Gaiteros de Pillopo,251.08853,9,0.561,179.665,1,0.0,El Barbero,0,20338184-f9b1-4aad-9493-b9042bf2f86b,0.307211096291,0.138639716654,0.374,9,0.561,-8.173,1,0.52,245.359,gaiteros de pillopo,el barbero
76,77,SOONSFT12A8C13E5D0,78736,The Late_ Late Show,ARXDOUQ11F50C4A239,Wednesday 13's Frankenstein Drag Queens From Planet 13,131.81342,7,0.329,93.021,4,0.0,Hit And Rape (Album Version),0,,0.565161778133,0.371447105854,0.131,7,0.329,-3.525,1,0.369,127.536,wednesday 13's frankenstein drag queens from planet 13,hit and rape (album version)
78,79,SOUVYHS12A8C13AB77,295095,J. Strauss: Die Fledermaus,ART8F8O1187B9A538D,Herbert Von Karajan,238.10567,1,0.58,103.929,3,0.633,"Die Fledermaus - Operette in drei Akten/Silvester-Einlagen/Dein ist mein ganzes Herz (aus Das Land des Lächelns"")""",0,d2ced2f1-6b58-47cf-ae87-5943e2ab6d99,0.668055686858,0.464152439053,0.0,1,0.58,-20.18,1,0.475,238.106,herbert von karajan,"die fledermaus - operette in drei akten/silvester-einlagen/dein ist mein ganzes herz (aus das land des lächelns"")"""
9952,9953,SOTARLM12AB0189263,424048,The Early Years,ARV38Z81187B98E608,The Jets,164.54485,11,0.172,97.243,4,0.719,Steppin' Out Tonight,0,9fd77a47-5432-4aed-948b-4a10fb3de52b,0.565482350696,0.391242506015,0.113,11,0.172,-14.022,1,0.289,154.424,the jets,steppin' out tonight
9953,9954,SOEOMWI12A67ADB831,16762,The EMI Years 1973-'75,ARNE16X1187B9B2DEE,Jimmy Cliff,216.45016,5,0.461,83.712,7,0.141,Million Teardrops,0,2caa54a7-b08c-41da-b892-3a41abe778be,0.672199944412,0.466784211628,0.188,5,0.461,-11.675,1,0.453,205.578,jimmy cliff,million teardrops
9955,9956,SOJMCCN12AB0185039,509820,Love Is Back,ARQEPTZ1187FB4CD36,Toby Love,202.26567,9,0.457,90.681,1,0.808,Happy Valentine's,0,93b34a61-0487-45f5-887d-0f6fe81e6c71,0.698977345836,0.394107804197,0.184,9,0.457,-3.723,0,0.472,195.558,toby love,happy valentine's
42,43,SONGLFT12AB0189B1E,800483,Pinkboy Presents TPC,ARPZPET1252CCF9386,Plagia,354.11546,3,0.0,132.002,4,0.868,Floripa,0,,0.445763639703,0.0,0.171,3,0.0,-12.611,0,0.063,348.508,plagia,floripa
44,45,SONGJCH12A8C140C32,351182,The Very Best of Relaxing Classics,ARUCJQF1187B9A0A57,Hollywood Bowl Orchestra / John Mauceri,147.64363,3,0.747,111.267,4,0.659,John Dunbar Theme [Dances with Wolves],0,b40ad2e7-ab1e-4652-9f37-122842dd3ca2,0.293889991566,0.0,0.308,3,0.747,-19.76,1,0.797,132.093,hollywood bowl orchestra / john mauceri,john dunbar theme [dances with wolves]
46,47,SOYDWJC12AB017D699,624496,Herzen mit Koffer,ARGLRBB12472CE2CFF,Rainer Bielfeldt,192.73098,10,0.668,106.07,4,0.357,Gewisse Leute,0,eabe48f3-c5aa-4200-b511-115334c97201,0.407448072217,0.0,0.292,10,0.668,-14.393,0,0.625,184.291,rainer bielfeldt,gewisse leute
47,48,SOQKBUO12A6D4FB40F,46464,Real Talk,ARXP7MQ1187FB3AC5F,Dave Hollister,209.55383,11,0.296,166.026,4,1.0,Bad When U Broke,0,2b0d81ce-1d0e-4097-91b3-c1f0cb045a2c,0.612543003669,0.459660463222,0.0,11,0.296,-8.43,0,0.347,189.359,dave hollister,bad when u broke
48,49,SODVRAB12AB018DD17,817501,Tonic,ARFM7OI1187B990C49,Tonic,184.68526,2,1.0,156.028,4,1.0,Where Do I Fit,0,e0e9ed26-0abe-41c4-9f7f-bc50649fd8fd,0.701521706441,0.52431892047,0.67,2,1.0,-4.768,1,0.715,176.791,tonic,where do i fit
50,51,SOKMREL12AB017AC04,487924,Pídemelo Todo,ARXTM8U1187B99F200,Pablo Montero,189.57016,0,0.674,98.063,4,0.345,La Copa Grande,0,8a2e86ca-2153-4ba1-b2c2-2a525c2bd665,0.546310423699,0.309919339654,0.16,0,0.674,-8.888,1,0.588,184.442,pablo montero,la copa grande
51,52,SOQRIHX12AB0185FCB,553262,Summer of a Thousand Years,AR5C6M11187B9AC877,The Grip Weeds,314.14812,10,0.838,130.459,4,0.0,Changed,0,04421fd3-f39a-45a1-b1b7-5f7b3665cf84,0.529794861802,0.328236583678,0.0,10,0.838,-5.853,1,0.666,304.21,the grip weeds,changed
5525,5526,SOKHNPX12A8C14512E,377938,Best Of The Radio Shows,AR7QAHN1187FB35F8B,Groucho Marx,321.20118,4,0.593,131.128,5,0.539,Show Fifteen with Bernard Sampson & Robert Sewell,0,534370ec-59cb-49f5-84a6-d4c7c8ad6daf,0.426512760735,0.434621852464,0.2,4,0.593,-9.332,1,0.515,317.632,groucho marx,show fifteen with bernard sampson & robert sewell
53,54,SOKHRGL12AB018ADAC,589057,The Open Mind Of John D. Loudermilk,AR5ZJLK1187B9B3A8E,John D. Loudermilk,252.682,5,0.812,112.781,4,1.0,Brown Girl,0,e5fbd7a7-eaaa-49fa-8512-ac2d1b416011,0.414244229172,0.287370034592,2.328,5,0.812,-12.239,1,0.691,246.236,john d. loudermilk,brown girl
5527,5528,SOXYNYD12A8C13DF7B,223668,Rochereau_ Sam Mangwana & l'African Fiesta National,ARNLOX91187B990BFC,Tabu Ley Rochereau,173.19138,0,0.191,100.009,4,0.324,Kassoule,0,85a694a0-dde9-4d79-a3b5-11950be0f3de,0.439080214651,0.332324178435,0.0,0,0.191,-13.029,1,0.479,166.208,tabu ley rochereau,kassoule
9962,9963,SOQCKBB12AB01864F9,673446,Nervous Nitelife: Tom Stephan,ARC39PE1187B9B2C01,Major Lazer,352.02567,1,0.487,127.873,4,0.594,Keep It Going Louder (Tom Stephan Harder Mix),0,3223389d-6fc5-414c-a6da-818044415e24,0.400674504872,0.236433804741,0.0,1,0.487,-5.929,1,0.491,352.026,major lazer,keep it going louder (tom stephan harder mix)
9966,9967,SOYBGAM12AB017A82A,484159,Emergency Broadcast,ARCCRTI11F4C845308,White Heart,184.68526,5,0.601,104.52,4,0.52,Speed Of Sound (Emergency Broadcast Album Version),0,,0.477364752484,0.337507289166,0.247,5,0.601,-9.579,1,0.606,181.354,white heart,speed of sound (emergency broadcast album version)
9967,9968,SOPVNEU12A58A77E90,507551,Tunes from the Attic,ARODOO01187FB44F4A,The Baltimore Consort,201.50812,5,0.956,69.489,1,0.0,You Lasses and Lads,0,60bd8a1c-c093-4849-8f28-08101ca059b1,0.425723658047,0.0,0.17,5,0.956,-19.572,1,0.797,187.199,the baltimore consort,you lasses and lads
80,81,SODCXGX12A8AE46866,185110,A-sides_ B-sides and Rarities,ARCLFWR1187B9AE7B2,Fun Lovin' Criminals,235.36281,9,0.156,91.859,4,1.0,We Have All The Time In The World (Live),0,1b15e90d-910c-4be4-99cb-463772a6430f,0.683206040048,0.484876718954,0.456,9,0.156,-12.767,1,0.254,229.396,fun lovin' criminals,we have all the time in the world (live)
82,83,SORDTXF12AB017C25D,544392,Tarde O Temprano,AR0WCZW1187B99F592,Tommy Torres,222.92853,11,0.266,158.007,4,0.774,Imparable,0,a3d655dd-4202-42b2-b1ba-bb96d2c4d4b3,0.638590616661,0.416019233866,0.0,11,0.266,-7.123,1,0.414,210.611,tommy torres,imparable
83,84,SOZMCOM12A8C13F945,174657,Washboard Sam Vol. 3 (1938),AR84AQE1187B98AD9C,Washboard Sam,166.19057,9,0.016,158.455,4,0.731,Bucket's Got A Hole In It,0,7c913d1c-cef0-4c02-89d2-ecbf6ab5fc21,0.505784762727,0.326750333974,2.014,9,0.016,-15.571,0,0.236,160.148,washboard sam,bucket's got a hole in it
84,85,SONFNKK12A8C13BDE6,113171,Christmasing,ARK0VFZ1187FB4309B,Shirley Caesar,176.37832,9,0.286,119.711,4,0.0,Angels We Have Heard On High (Album Version),0,2bb81df0-e9e2-42ee-9708-d30b0c85d946,0.57930948808,0.370273518966,0.421,9,0.286,-8.686,1,0.705,169.32,shirley caesar,angels we have heard on high (album version)
5528,5529,SOHYKZG12A6D4FAF0A,64413,Petraphonics,AR2KSTE1187FB57A36,Petra,242.62485,4,0.036,105.498,4,0.834,Hollow Eyes (Beat The System Album Version),0,e52a3cd0-6a7f-4cc0-b9d4-049b8871e849,0.798158655938,0.475393063442,2.984,4,0.036,-11.555,0,0.386,230.917,petra,hollow eyes (beat the system album version)
86,87,SODAAKS12AB018D37F,761599,Tammy Wynette - Live at the Rodeo!,ARM5JLS1187FB3615B,Tammy Wynette,84.16608,3,0.612,155.05,1,0.0,Welcome To My World (Live),0,26fe36eb-fd75-4799-bf0f-fa502a7bcfe8,0.606118645697,0.409196035655,0.0,3,0.612,-11.433,1,0.628,84.166,tammy wynette,welcome to my world (live)
65,66,SOTKYKL12A8AE45B28,135402,Big Joe Rides Again,ARWIMT21187B9B5AEC,Joe Turner,233.92608,10,0.455,88.109,4,0.483,Here Comes Your Iceman (LP Version),0,9d2c8965-283a-4abc-bdcd-9b27d7f87a44,0.473624123748,0.364586575409,0.502,10,0.455,-13.984,1,0.538,231.828,joe turner,here comes your iceman (lp version)
67,68,SOOFFTS12AB018A83C,468309,Chris Farlowe Selected Hits,ARTXS851187FB411C7,Chris Farlowe,192.26077,0,1.0,160.663,4,0.13,I Just Need Your Lovin' - Original,0,6bb0bcaa-f96f-4c1a-b51d-c766db2af8ae,0.543393231433,0.338575026457,0.0,0,1.0,-13.626,1,0.887,183.205,chris farlowe,i just need your lovin' - original
68,69,SOOEDPH12A6310E02B,808,The Best Of David Bowie 1969-74,ARJA1841187FB3A029,David Bowie,313.70404,0,0.239,137.068,4,0.306,Space Oddity (1997 Digital Remaster),0,5441c29d-3602-4898-b1a1-b77fa23b8e50,0.865970006331,0.57492142334,15.018,0,0.239,-12.679,1,0.433,299.619,david bowie,space oddity (1997 digital remaster)
69,70,SOCDRKE12A8C13BF47,210456,The Sky Moves Sideways (Special Edition),ARYO9BU1187B9ADA88,Porcupine Tree,978.442,9,0.304,134.075,4,0.04,Moon Loop (Improvisation),0,169c4c28-858e-497b-81a4-8bc15e0026ea,0.830252261722,0.507965802159,0.0,9,0.304,-11.524,0,0.363,966.954,porcupine tree,moon loop (improvisation)
70,71,SOBVPYI12AB018623E,812627,Uni5: The World's Enemy,ARUZRFN1187B98AC05,Bone Thugs-N-Harmony,34.42893,8,0.459,86.056,4,0.526,Fearless [Interlude] (Explicit Album Version),0,2fa45bbb-0efb-4950-9d40-94bf23cbfec1,0.815923420344,0.555138321923,0.177,8,0.459,-12.088,1,0.428,34.429,bone thugs-n-harmony,fearless [interlude] (explicit album version)
72,73,SOAHAEF12AB017E6A5,631274,Bestival presents Sunday Best Vol 2,ARXK4YK1187FB4D0C4,Dub Pistols feat. Lindy Layton & Rodney P,333.21751,0,0.605,130.016,4,0.0,I'm In Love,0,5483e1c0-14ca-4ec4-9b03-c4e987420e4e,0.687619666235,0.417068912495,0.0,0,0.605,-6.883,1,0.492,323.913,dub pistols feat. lindy layton & rodney p,i'm in love
73,74,SOVSNHP12AB0185417,759051,International,ARYFHBH1257509D340,Hassan Annouri feat. Cassandra Steen,270.73261,7,0.45,150.063,4,0.7,Wahrheit,0,,0.0771768673465,0.357784312397,0.102,7,0.45,-5.106,0,0.531,268.132,hassan annouri feat. cassandra steen,wahrheit
7554,7555,SOLWSUT12AB0188BE5,771701,Rookie Of The Year (Collector's Edition),ARICCN811C8A41750F,Ya Boy,208.14322,2,0.645,117.66,1,1.0,How U Want It?,0,b81f61cd-9dc9-4eb4-ab33-75f28b400076,0.764953773396,0.51061754224,0.0,2,0.645,-10.649,1,0.552,208.143,ya boy,how u want it?
88,89,SOBWBGS12AB01868B0,546646,Essential Bessie Smith Vol 1,ARYYCVC1187B9A8510,Bessie Smith,192.44363,7,0.304,79.912,4,0.55,Cold In Hands Blues,0,ffa28768-ecda-42c6-ac49-6ce5c7d33043,0.637521050415,0.404798068262,2.537,7,0.304,-27.858,0,0.343,189.272,bessie smith,cold in hands blues
5503,5504,SOCMHVU12A8C13A274,105758,Unlimited,AR18AJW1187FB3F9FA,F.I.R.,248.0322,6,0.297,101.471,7,0.435,Si Xin De Li You,0,a8251b7f-2ea9-4661-89c1-0950b5867034,0.537385267381,0.370540726443,0.0,6,0.297,-6.351,1,0.426,235.294,f.i.r.,si xin de li you
91,92,SOYIZYC12AB01833BF,606364,Down By The River,ARX9L381187B9B7265,Mac McAnally,183.53587,0,0.952,174.268,4,0.021,If You Hang Around Long Enough,0,48e32ea6-e282-44ee-96a6-1ed5aeaa4023,0.573039790503,0.437866012408,0.296,0,0.952,-6.601,1,0.89,175.984,mac mcanally,if you hang around long enough
96,97,SORZUVX12AB017BDCB,625398,Herbst9 vs. Z'ev - Through Bleak Landscapes,ARZQM8D1187FB438CC,Herbst9_ Z'ev,245.02812,10,0.406,91.695,3,0.936,Awakening of the Soulless,0,1ec1d30e-274e-4be6-86a1-58ceb7e90ae0,0.480355425324,0.353256679264,2.769,10,0.406,-14.775,0,0.298,232.815,herbst9_ z'ev,awakening of the soulless
97,98,SOTTMXT12AF72A1B42,597508,Emerald Aether: Shape Shifting/Reconstructions Of Irish Music,ARAH4TU1187FB51D28,Bill Laswell,132.67546,3,0.294,105.218,4,0.754,The Gary Selchie - Solas,0,8b7a121c-5b50-4912-ab4c-e49a631a2db0,0.678008836779,0.404039733775,0.0,3,0.294,-19.814,0,0.11,128.151,bill laswell,the gary selchie - solas
100,101,SOFUCUZ12A6D4F9EDA,62750,Hank Wilson's Back!,AR7TTCH1187FB3F95C,Leon Russell,169.35138,0,0.826,99.435,4,0.999,Jambalaya (On The Bayou),0,d4cc0ed5-0f76-4188-9e14-2a23ca12188a,0.63422696339,0.443708895002,0.0,0,0.826,-14.073,1,0.601,163.828,leon russell,jambalaya (on the bayou)
101,102,SOWNKEY12A8C131FE7,284078,A Musical Massacre (Explicit),ARNQESK11F4C83FD6F,Beatnuts featuring dead prez and Cheryl Pepsi Riley,318.56281,1,0.7,93.957,4,1.0,Look Around featuring dead prez and Cheryl Pepsi Riley,0,,0.608018105915,0.28552323045,0.0,1,0.7,-5.414,1,0.76,315.82,beatnuts featuring dead prez and cheryl pepsi riley,look around featuring dead prez and cheryl pepsi riley
103,104,SOGDDBQ12A8C140740,174688,Jazz Gillum Vol. 2 1938-1941,ARW4AGO1187FB4F107,Jazz Gillum,183.09179,7,0.519,101.713,1,0.0,Little Woman,0,a32c74a4-4774-4b60-be49-341665450d46,0.362800141681,0.282286405633,0.415,7,0.519,-14.663,1,0.5,176.982,jazz gillum,little woman
104,105,SOGHJED12A8C137F42,91294,Sonny Terry & Brownie McGhee_ Vol. E (1938-1941),ARKJVHY11E2835E76B,Sonny Terry & Brownie McGhee,167.02649,2,0.701,117.625,4,0.394,My Bulldog Blues,0,b95e98f2-5511-4dc9-a089-444af424d74d,0.517126315036,0.360145056506,0.234,2,0.701,-19.569,1,0.608,160.961,sonny terry & brownie mcghee,my bulldog blues
107,108,SOQOEYV12AB0185DEF,762539,Take It To Heart,ARHTHC01187B9B6D2A,Michael McDonald,296.202,11,0.066,109.731,4,0.831,Love Can Break Your Heart (LP Version),0,f197a6e3-dc1a-4332-b9f6-fbf74eece637,0.712675251311,0.563362693588,0.181,11,0.066,-10.015,0,0.45,278.808,michael mcdonald,love can break your heart (lp version)
108,109,SOAJUIE12A6D4FAC25,43181,Free - Live At The BBC,ARC70XM1187FB4D5B0,Free,197.56363,4,0.693,114.168,1,0.0,Broad Daylight - The BBC Sessions [Top Gear 17/3/69],0,cbac7516-7feb-4fe3-98ac-64e7090c0a4f,0.713686249595,0.468604580569,0.206,4,0.693,-12.473,1,0.601,193.242,free,broad daylight - the bbc sessions [top gear 17/3/69]
9956,9957,SORCMAR12AB018701E,554475,Rahayee,ARYLQVR11F50C4EFC2,Saman,339.06893,1,0.99,174.108,3,0.935,Akhm Nakon,0,,0.767815063865,0.319103221688,0.212,1,0.99,-9.163,1,0.843,327.663,saman,akhm nakon
