SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,mbID,Energy,ArtistFamiliarity,Hotness,end_of_fade_in,key,keyConfidence,Loudness,mode,mode_confidence,start_of_fade_out
11,"SOHODRU12A81C230CE",230859,"About Time","AR22KZ51187B9A0A31",,"",,"Five Fingers of Funk",0.0,1400.37179,0,0.124,0.0,0,0.0,"Genuine",1998,48991947-18af-4327-9e4c-c8e8e7c113c3,0.0,0.383073611764,0.0,0.146,0,0.124,-8.792,1,0.256,1389.25
12,"SOZUUEA12A6701D4D2",12539,"Wind In The Wire","ARAPH9U1187B9B34F0",,"Marshville NC",,"Randy Travis",0.0,211.40853,10,0.89,95.655,4,0.557,"Wind In The Wire (Album Version)",1993,09b697e3-a849-4670-ae49-e0b821a6271a,0.0,0.787877691086,0.543225521045,0.218,10,0.89,-14.172,0,0.897,200.046
13,"SOTHGTJ12A8C13399D",391347,"Cherry Pie","AR261YW1187FB374B3",,"GERMANY",,"Warrant",0.0,201.03791,4,0.169,177.152,4,0.076,"Cherry Pie",0,a00df488-9c2c-494a-a46c-840cb153302a,0.0,0.696450939342,0.489149816628,7.297,4,0.169,-4.65,0,0.0,198.177
14,"SOZFWDC12A8C13317B",284542,"IRISH DRINKING SONGS","AROSGVP1187B9B011F",53.41961,"Ireland",-8.24055,"The Clancy Brothers",0.0,113.78893,0,0.791,105.852,1,0.088,"Water Is Alright In Tay",1993,530846f0-4098-4d33-bd8a-8611f823bf51,0.0,0.562597242083,0.408955833133,2.276,0,0.791,-13.289,1,0.689,109.552
15,"SOQEBML12A8C136AA4",154446,"Massenet: Werther","AR5R7791187FB3A8C3",,"",,"Alfredo Kraus/Tatiana Troyanos/London Philharmonic Orchestra/Michel Plasson",0.0,55.40526,6,0.056,109.158,4,0.345,"Werther (1997 Digital Remaster)_ PREMIER ACTE/ACT ONE/ERSTES AKT: Mon âme a reconnu votre âme(Werther/Charlotte)",0,07c766d0-7734-4574-ad5a-0798ae57ff5d,0.0,0.477387133728,0.363610864647,0.0,6,0.056,-23.73,1,0.468,55.405
16,"SOBBDPK12AC3DF6CB3",603540,"Second Hand Life: The Deluxe Edition","ARS6HDE1187B99CA29",,"",,"Joe Lynn Turner",0.0,274.12853,3,0.807,106.896,4,0.574,"Second Hand Life",0,47cd459b-06c1-462f-8fdd-27721a03ef68,0.0,0.620041694718,0.364975595396,0.258,3,0.807,-5.912,0,0.662,255.849
17,"SOQEUVL12A8C133AC2",286538,"Somebody Bigger Than You And I","AR4GP451187FB3F2BB",,"",,"Andy Griffith",0.0,179.93098,2,0.396,100.018,4,0.0,"Just A Closer Walk With Thee",0,771bd654-80dd-44a0-bb77-5e09947c9082,0.0,0.516873683434,0.310600343688,3.094,2,0.396,-16.334,1,0.568,173.105
18,"SOZCATU12A58A7BD8D",293650,"Speakerboxxx/The Love Below","AR3MSAN1187B98F06B",33.74831,"Atlanta GA",-84.39111,"OutKast",0.0,323.10812,7,0.371,100.026,4,1.0,"Happy Valentine's Day",2003,73fdb566-a9b1-494c-9f32-51768ec9fd27,0.0,0.796419552926,0.574497025958,0.0,7,0.371,-4.018,1,0.554,312.123
19,"SOIAYAJ12AB0189B8B",802902,"The Choice EP","ARSBFGV1241B9CE441",,"",,"Laron aka Swan featuring Alexander East",0.0,544.522,10,0.484,84.64,5,1.0,"Up All Night - Remix",0,,0.0,0.404369410618,0.0,0.096,10,0.484,-10.971,0,0.507,525.81
20,"SOJZHAZ12AB01866C5",818031,"Allt Är Skit_ Jämt","ARHPBZT1269FCD0B57",,"",,"IYOV",0.0,120.16281,11,0.077,194.53,4,0.0,"Hipster Haircut",0,,0.0,0.338943091647,0.235816028299,0.0,11,0.077,-3.909,1,0.464,120.163
21,"SOYVTIL12A6D4F6BD4",30893,"Gold","ARGS67J1187FB3FC1A",37.27188,"California",-119.27023,"Righteous Brothers",0.0,190.14485,0,0.89,72.656,3,0.602,"See That Girl",1965,1ac3366a-a0e9-4a55-8f6e-796fce32a3b2,0.0,0.685080489473,0.46070367445,0.21,0,0.89,-10.288,1,0.734,180.773
22,"SOAULBO12A58A7A2F8",650737,"From Conception to Birth: A Life Unfolds","ARDXWVZ1187B9B52F1",40.71455,"New York",-74.00712,"Michael Whalen",0.0,317.70077,10,0.33,110.1,4,1.0,"A New Heart",2004,fdd978e6-6ced-4985-81c7-84db3ac7ce0b,0.0,0.456605059966,0.36074498441,8.963,10,0.33,-15.968,1,0.539,313.481
23,"SOIXNYE12A8C1366F2",153344,"Collection: B. Carlisle","ARTCO131187B9B9ADB",,"",,"Bob Carlisle",0.0,331.25832,7,0.618,103.634,4,0.066,"Man Of No Reputation",1994,134ab384-5fa8-45d6-8052-876d0e4790a2,0.0,0.563583586258,0.388527293306,5.195,7,0.618,-16.196,1,0.59,307.641
24,"SOCTMWO12AB018563C",501877,"We Will Glorify (Premiere Performance Plus Track)","ARUTS6Y1187FB5BDAB",,"",,"Twila Paris",0.0,201.32526,11,0.638,135.989,5,0.237,"We Will Glorify (Key-B-Db-Premiere Performance Plus)",0,e22d16ad-cb54-42f1-b67d-e5a15135c106,0.0,0.559901438381,0.401239121707,0.252,11,0.638,-10.012,1,0.611,182.288
25,"SOOXCKQ12AB0184FBC",326331,"One Block Radius","AR4BSBD1187B9ACD3A",,"",,"One Block Radius",0.0,236.72118,4,0.509,124.022,4,1.0,"All On Our Own",2008,766398c6-6932-473f-a09f-955954167c90,0.0,0.646851193887,0.406092676532,0.0,4,0.509,-2.45,0,0.261,226.679
26,"SOCHXGO12A6D4F918E",41797,"2 Em 1 (Dois Em Um)","ARV6QHT1187FB5537A",,"",,"Nana Caymmi",0.0,174.54975,2,0.835,115.781,4,0.0,"Nossa Dança",0,c5597943-f7bc-48de-b00e-4b34c9f8558c,0.0,0.523633031781,0.348350022224,0.107,2,0.835,-12.209,1,0.783,167.189
27,"SOFVPZU12AF729CC83",599035,"Humpty Dumpty LSD","ARPQ4Z01187FB3A736",,"San Antonio TX",,"Butthole Surfers",0.0,512.1824,9,0.845,79.709,4,0.0,"All Day",1987,2339bc21-aa92-4850-86f0-4bb9433910c8,0.0,0.628489970806,0.488019841686,0.194,9,0.845,-3.237,1,0.514,500.733
28,"SODLKUO12A8C13CA35",350902,"12 x 5","ARFCUN31187B9AD578",51.50632,"London England",-0.12714,"The Rolling Stones",0.0,172.72118,4,0.494,107.455,3,1.0,"Time Is On My Side",1964,b071f9fa-14b0-4217-8e97-eb41da73f598,0.0,0.814829656133,0.776037656053,0.183,4,0.494,-7.343,1,0.344,164.148
29,"SOOWPWH12A8C13649B",152889,"Loud","ARCYE581187B9A1482",,"",,"Timo Maas",0.0,417.56689,4,0.316,87.995,1,0.974,"Bad Days",2001,71348eeb-0c15-4718-b0ca-5775f78ad5f8,0.0,0.691973119281,0.3966195656,3.477,4,0.316,-8.92,0,0.401,374.596
30,"SOMFGBQ12A582917CD",230970,"American Indian Ceremonial & War Dances","ARWXMEP1241B9CD7CE",,"",,"Various Indian Tribes",0.0,193.25342,9,0.289,136.726,4,0.635,"Mountain By The Sea (Tribe Unknown)",0,,0.0,0.0355024202206,0.137659673231,0.293,9,0.289,-12.852,1,0.366,187.623
31,"SOJRGAN12A8C1339B6",283635,"Stagepass","ARI648V1187B9B5379",,"",,"The Michael Stanley Band",0.0,232.12363,9,0.664,103.731,4,1.0,"Waste A Little Time On Me",1975,4e744ffc-767a-4b18-b485-47d4b123ff4a,0.0,0.442769650057,0.294986616555,0.0,9,0.664,-15.161,0,0.61,227.846
32,"SOVDKIH12AB0187301",799348,"Cosa de Hombres","ARJ3VRY1187B9A3058",,"",,"Memphis La Blusera",0.0,261.642,1,0.424,159.668,4,0.0,"La Revolución",1995,426bbccf-c6c7-45f2-bf03-5ce0b1e064b1,0.0,0.472247769437,0.316724550698,0.212,1,0.424,-7.164,0,0.507,252.825
33,"SOPZKAF12A8C140A6A",172858,"Babies Go To Sleep","ARY1P2B1187B9B78F5",,"",,"Mariano Yanani",0.0,191.42485,2,0.484,111.903,4,0.02,"Air_ Siote No. 3 (J.S. Bach)",0,d4a76953-f4fa-4a49-a0ea-b05eac61f8e8,0.0,0.379734511746,0.31386609958,3.204,2,0.484,-16.41,1,0.659,186.648
34,"SOKYSHY12A8C13EA99",216702,"Virtual Leisure","AR1Y0N71187FB43209",,"",,"Anat Ben David",0.0,213.7073,0,0.467,100.042,4,0.626,"Moon Boom",0,e0f1c974-0125-40e1-818b-4a38100fae94,0.0,0.500656727945,0.0,0.078,0,0.467,-8.913,0,0.242,206.158
35,"SOIBLAH12AB018B3BA",596461,"Kona Gold","ARO5P0H1187FB5BAD7",,"Kona HI",,"Pepper",0.0,108.93016,11,0.064,148.712,4,0.0,"Stormtrooper (Live)",2009,04f8dad4-de2d-4e98-8837-6a55075a9847,0.0,0.765141417908,0.471493226676,0.0,11,0.064,-5.356,0,0.369,108.93
36,"SOKLETG12A58A7D0BF",57035,"The Second Album + The First Rehearsal Tapes","AR1Y37Q1187B9B66D2",40.71455,"New York NY",-74.00712,"Suicide",0.0,323.94404,9,0.882,130.826,5,1.0,"Do It Nice",1999,7a0f02e0-0ab8-4a62-9e14-c6925cfaed07,0.0,0.710269166698,0.394908896933,0.578,9,0.882,-13.753,1,0.675,318.624
37,"SOCQXMW12A58A7E63F",1224,"Strange Cargo III","ARZS5VW1187FB567E8",,"",,"William Orbit",0.0,315.01016,2,0.0,95.869,4,0.534,"The Monkey King",1993,a7412cd0-e0b8-4fa1-8d24-75bb92a84946,0.0,0.674970293048,0.424953084113,0.308,2,0.0,-34.703,0,0.0,293.135
38,"SOBHGGX12A8AE45557",278560,"Seasons","ARGFVP41187B99296B",,"",,"Max Melvin",0.0,262.79138,1,0.491,100.01,4,0.718,"Someday",0,ac602ca1-584d-4e3d-801b-648aa05ba7ae,0.0,0.468080669053,0.344290296121,3.767,1,0.491,-9.199,0,0.443,252.302
39,"SOTESSB12AB017F56D",327478,"Steady On","ARGNLJL1187B9AB503",,"",,"Point Of Grace",0.0,294.08608,6,0.535,125.95,4,0.681,"Amazing (LP Version)",1998,0b68034d-215d-48db-b671-edf76739d637,0.0,0.673325231272,0.53710628392,0.0,6,0.535,-6.477,0,0.647,285.838
40,"SOVZXBP12A8C1366A1",100101,"Gus Cannon Vol. 1 (1927 - 1928)","AR7G0NH1187FB42E47",34.82973,"Red Banks MS",-89.5647,"Gus Cannon",0.0,197.0673,9,0.0,116.539,4,1.0,"Big Railroad Blues",0,be495112-dba6-43fa-9b6d-01cf8decf85d,0.0,0.3720519997,0.245472717519,0.293,9,0.0,-20.832,1,0.132,189.684
41,"SOMCQZY12A8C136BBF",290701,"This Is Love","AR0BV7E1187FB386C1",,"Hollywood CA",,"Lee Ritenour",0.0,321.56689,6,0.355,93.848,4,0.563,"Can You Feel It?",1998,0c361ea5-98c6-4947-900b-201833f2dd84,0.0,0.632008012811,0.14468466091,0.0,6,0.355,-11.241,0,0.443,304.408
42,"SOOMWCA12AB01834ED",662656,"The Final Chapter","ARDQO721187FB3C6D9",,"",,"Rodney O & Joe Cooley",0.0,230.84363,11,0.417,90.071,4,1.0,"Murda'",0,2ba29f11-6321-451f-934d-3f63b3930ce3,0.0,0.4157846077,0.307902093869,0.34,11,0.417,-16.376,1,0.506,215.742
43,"SONGLFT12AB0189B1E",800483,"Pinkboy Presents TPC","ARPZPET1252CCF9386",,"",,"Plagia",0.0,354.11546,3,0.0,132.002,4,0.868,"Floripa",0,,0.0,0.445763639703,0.0,0.171,3,0.0,-12.611,0,0.063,348.508
44,"SOGCDYR12AC961854A",785446,"You And Your Heart","ARC8CQZ1187B98DECA",,"Galveston TX",,"Jack Johnson",0.0,196.20526,2,1.0,107.042,4,1.0,"You And Your Heart",2010,ff6e677f-91dd-4986-a174-8db0474b1799,0.0,0.832011770647,0.677482479432,0.334,2,1.0,-7.045,1,0.706,179.664
45,"SONGJCH12A8C140C32",351182,"The Very Best of Relaxing Classics","ARUCJQF1187B9A0A57",,"",,"Hollywood Bowl Orchestra / John Mauceri",0.0,147.64363,3,0.747,111.267,4,0.659,"John Dunbar Theme [Dances with Wolves]",0,b40ad2e7-ab1e-4652-9f37-122842dd3ca2,0.0,0.293889991566,0.0,0.308,3,0.747,-19.76,1,0.797,132.093
46,"SOMUULD12A6D4FBB30",177206,"Rio","AR1LQNB1187B9A6AE5",,"",,"La Portuaria",0.0,224.91383,7,0.368,122.026,4,1.0,"Hasta El Final",2005,c9c3157e-35e6-4888-9970-3b9771f13197,0.0,0.52288813193,0.305719059845,0.253,7,0.368,-7.29,1,0.503,217.205
47,"SOYDWJC12AB017D699",624496,"Herzen mit Koffer","ARGLRBB12472CE2CFF",,"",,"Rainer Bielfeldt",0.0,192.73098,10,0.668,106.07,4,0.357,"Gewisse Leute",0,eabe48f3-c5aa-4200-b511-115334c97201,0.0,0.407448072217,0.0,0.292,10,0.668,-14.393,0,0.625,184.291
48,"SOQKBUO12A6D4FB40F",46464,"Real Talk","ARXP7MQ1187FB3AC5F",,"LOWELL",,"Dave Hollister",0.0,209.55383,11,0.296,166.026,4,1.0,"Bad When U Broke",0,2b0d81ce-1d0e-4097-91b3-c1f0cb045a2c,0.0,0.612543003669,0.459660463222,0.0,11,0.296,-8.43,0,0.347,189.359
49,"SODVRAB12AB018DD17",817501,"Tonic","ARFM7OI1187B990C49",,"",,"Tonic",0.0,184.68526,2,1.0,156.028,4,1.0,"Where Do I Fit",0,e0e9ed26-0abe-41c4-9f7f-bc50649fd8fd,0.0,0.701521706441,0.52431892047,0.67,2,1.0,-4.768,1,0.715,176.791
50,"SOGRIWH12A8C1318AD",240938,"Idem","ARKWT6J1187B98ED50",,"",,"Móveis Coloniais de Acaju",0.0,320.05179,2,0.544,173.652,4,0.24,"Perca peso",2005,49474115-6ada-42ee-b92f-ce70a40ae9b5,0.0,0.624274355705,0.418741084844,0.0,2,0.544,-5.647,1,0.475,316.668
51,"SOKMREL12AB017AC04",487924,"Pídemelo Todo","ARXTM8U1187B99F200",,"",,"Pablo Montero",0.0,189.57016,0,0.674,98.063,4,0.345,"La Copa Grande",0,8a2e86ca-2153-4ba1-b2c2-2a525c2bd665,0.0,0.546310423699,0.309919339654,0.16,0,0.674,-8.888,1,0.588,184.442
52,"SOQRIHX12AB0185FCB",553262,"Summer of a Thousand Years","AR5C6M11187B9AC877",,"New Brunswick NJ",,"The Grip Weeds",0.0,314.14812,10,0.838,130.459,4,0.0,"Changed",0,04421fd3-f39a-45a1-b1b7-5f7b3665cf84,0.0,0.529794861802,0.328236583678,0.0,10,0.838,-5.853,1,0.666,304.21
53,"SOSXYJQ12A6D4FB699",60339,"The Best of Bobbie Gentry: The Capitol Years","ARQXAUH1187B9BA010",33.90698,"Chickasaw County MS",-88.95535,"Glen Campbell And Bobbie Gentry",0.0,183.11791,7,0.59,101.577,4,0.0,"Mornin' Glory",1968,a5106366-6368-4a02-a580-73a3c02abb2f,0.0,0.582460566903,0.384798909965,0.125,7,0.59,-13.881,1,0.627,176.448
54,"SOKHRGL12AB018ADAC",589057,"The Open Mind Of John D. Loudermilk","AR5ZJLK1187B9B3A8E",35.99527,"Durham NC",-78.89601,"John D. Loudermilk",0.0,252.682,5,0.812,112.781,4,1.0,"Brown Girl",0,e5fbd7a7-eaaa-49fa-8512-ac2d1b416011,0.0,0.414244229172,0.287370034592,2.328,5,0.812,-12.239,1,0.691,246.236
55,"SOQGJZV12A8C144767",429824,"Con Los Pies En La Tierra","ARNTTHK1187B98FF64",,"Cádiz",,"Andy & Lucas",0.0,234.63138,9,0.593,147.886,4,0.761,"Amores Cobardes",2008,5dec643a-423f-4051-ac13-87e59525ad74,0.0,0.538137739913,0.400387756597,0.212,9,0.593,-5.343,1,0.644,222.952
56,"SOAXMZC12A6D4F67A6",32217,"The Best Of Kenny Rogers","ARO4WQR1187B9B9825",,"Houston TX",,"Kenny Rogers",0.0,188.96934,0,1.0,174.785,4,0.092,"The Son Of Hickory Holler's Tramp",1977,c3d14b41-a48d-488f-bfed-ce0597bb0b1f,0.0,0.735370101605,0.61999595034,0.0,0,1.0,-12.193,1,0.942,171.508
57,"SOIAGWA12A8C142CE0",508143,"Tesoros De Colección","ARQHLIO1187B98AA6A",,"",,"Jay Pérez",0.0,204.66893,8,0.31,189.758,4,0.19,"Ojitos Dormilones",0,ec5b0121-b610-4968-81cf-70768dae23f1,0.0,0.550103850256,0.38623768284,0.252,8,0.31,-7.787,1,0.495,198.687
58,"SOOJFKG12A8C1334E6",284052,"Classics Live","AR12F2S1187FB56EEF",,"Boston MA",,"Aerosmith",0.0,425.03791,5,0.101,108.662,1,0.0,"Lord Of The Thighs",1974,3d2b98e5-556f-4451-a3ff-c50ea18d57cb,0.0,0.87253659867,0.610731462904,0.0,5,0.101,-10.943,1,0.525,409.681
59,"SOXCKCV12A6D4F8F1F",52666,"Communication","ARB45GQ1187B98D2B4",,"",,"DeGarmo & Key",0.0,171.75465,2,0.539,82.604,3,1.0,"He Has Risen (Communication Album Version)",0,cbee65fc-e11c-439b-b5b4-e068fb1c169a,0.0,0.421132725384,0.318834231458,0.368,2,0.539,-11.528,1,0.515,165.309
60,"SOVHLHV12AB018930B",756725,"Black Satin Vol1","AR0G47L1187B98CC6D",50.91552,"Battle Sussex England",0.48883,"Frank Chacksfield",0.0,151.19628,5,1.0,116.716,4,0.374,"Heidi",0,1ab5ec20-743e-4f11-9c37-237f190ae447,0.0,0.446256666541,0.346357522243,0.296,5,1.0,-16.538,1,0.9,148.248
61,"SOOVFAZ12A8C134EEB",92051,"Party Fiesta_ Vol. 7","AR6Q6PN1187B9A01E1",,"",,"The Party Group",0.0,190.04036,6,0.686,122.91,4,0.514,"El Ventilador",0,bb89afe4-81e8-45af-87bc-032703b7a953,0.0,0.188667694917,0.0,1.083,6,0.686,-21.761,0,0.573,183.606
62,"SOQKKCG12AB017D5C4",541577,"Good Morning Judge","ARN7OQ21187FB5A6B3",,"Greenwood MS",,"Furry Lewis",0.0,234.78812,10,0.074,146.569,4,0.449,"Old Hobo",2003,c60131ae-9e8f-46a8-a7d2-1393fe48a9d1,0.0,0.572500600682,0.368054038751,0.328,10,0.074,-8.032,0,0.366,234.788
63,"SOGHCFG12A8C13B254",155871,"Treat Me Bad EP","ARTXEZN1187B9B8190",62.19845,"Sweden",17.55142,"Agnes",0.0,371.06893,6,0.0,122.965,4,1.0,"Non Conformist Acclaimed",0,7ac63de9-e1fc-4d08-8141-fbf975b86098,0.0,0.7375404029,0.441355562048,0.149,6,0.0,-11.338,1,0.0,348.421
64,"SOVMXIC12A8C13CC28",109107,"Rescue Dawn","ARSL3N21187B98DFC5",,"",,"Klaus Badelt",0.0,116.1922,7,0.038,56.306,1,0.0,"After The Fire",2007,74ba575f-3420-4d62-8e48-ac473d3c4282,0.0,0.688003348837,0.469340374259,0.107,7,0.038,-27.369,0,0.431,102.777
65,"SOFYIQI12A6D4F8D85",42180,"5:55","ARL635X1187B990092",,"",,"Charlotte Gainsbourg",0.0,189.70077,6,0.438,119.683,3,1.0,"Tel Que Tu Es",2006,6efa29c6-9995-48e0-9eaf-3809464a39a7,0.0,0.74400791471,0.520049688179,0.0,6,0.438,-12.1,1,0.511,177.046
66,"SOTKYKL12A8AE45B28",135402,"Big Joe Rides Again","ARWIMT21187B9B5AEC",32.58507,"Mississippi",-89.87374,"Joe Turner",0.0,233.92608,10,0.455,88.109,4,0.483,"Here Comes Your Iceman (LP Version)",0,9d2c8965-283a-4abc-bdcd-9b27d7f87a44,0.0,0.473624123748,0.364586575409,0.502,10,0.455,-13.984,1,0.538,231.828
67,"SOCWUXY12A58A7F1E8",699416,"Let The Wind Blow High","ARC5Q0L1187B98D463",,"",,"Enter the Haggis",0.0,399.882,3,1.0,85.399,4,0.43,"Skyswimmer",1999,54ce7300-69ad-42ec-9327-53d61ead2a0c,0.0,0.619747146659,0.407386829646,3.663,3,1.0,-10.648,1,0.548,394.043
68,"SOOFFTS12AB018A83C",468309,"Chris Farlowe Selected Hits","ARTXS851187FB411C7",,"Essex England",,"Chris Farlowe",0.0,192.26077,0,1.0,160.663,4,0.13,"I Just Need Your Lovin' - Original",0,6bb0bcaa-f96f-4c1a-b51d-c766db2af8ae,0.0,0.543393231433,0.338575026457,0.0,0,1.0,-13.626,1,0.887,183.205
69,"SOOEDPH12A6310E02B",808,"The Best Of David Bowie 1969-74","ARJA1841187FB3A029",51.50632,"London UK",-0.12714,"David Bowie",0.0,313.70404,0,0.239,137.068,4,0.306,"Space Oddity (1997 Digital Remaster)",0,5441c29d-3602-4898-b1a1-b77fa23b8e50,0.0,0.865970006331,0.57492142334,15.018,0,0.239,-12.679,1,0.433,299.619
70,"SOCDRKE12A8C13BF47",210456,"The Sky Moves Sideways (Special Edition)","ARYO9BU1187B9ADA88",,"",,"Porcupine Tree",0.0,978.442,9,0.304,134.075,4,0.04,"Moon Loop (Improvisation)",0,169c4c28-858e-497b-81a4-8bc15e0026ea,0.0,0.830252261722,0.507965802159,0.0,9,0.304,-11.524,0,0.363,966.954
71,"SOBVPYI12AB018623E",812627,"Uni5: The World's Enemy","ARUZRFN1187B98AC05",,"Cleveland OH",,"Bone Thugs-N-Harmony",0.0,34.42893,8,0.459,86.056,4,0.526,"Fearless [Interlude] (Explicit Album Version)",0,2fa45bbb-0efb-4950-9d40-94bf23cbfec1,0.0,0.815923420344,0.555138321923,0.177,8,0.459,-12.088,1,0.428,34.429
72,"SOFCBVB12A8C143EC8",373288,"La Vie D'Ici Bas","ARPUTNP1187B9AA71B",,"",,"André Minvielle",0.0,295.96689,7,0.529,125.47,4,0.924,"Les Chaudrons",2007,c3d127ea-e74b-4cdb-adb7-f84c06c45f95,0.0,0.49112399325,0.420274329902,0.0,7,0.529,-7.632,1,0.556,286.691
73,"SOAHAEF12AB017E6A5",631274,"Bestival presents Sunday Best Vol 2","ARXK4YK1187FB4D0C4",51.50632,"London England",-0.12714,"Dub Pistols feat. Lindy Layton & Rodney P",0.0,333.21751,0,0.605,130.016,4,0.0,"I'm In Love",0,5483e1c0-14ca-4ec4-9b03-c4e987420e4e,0.0,0.687619666235,0.417068912495,0.0,0,0.605,-6.883,1,0.492,323.913
74,"SOVSNHP12AB0185417",759051,"International","ARYFHBH1257509D340",,"",,"Hassan Annouri feat. Cassandra Steen",0.0,270.73261,7,0.45,150.063,4,0.7,"Wahrheit",0,,0.0,0.0771768673465,0.357784312397,0.102,7,0.45,-5.106,0,0.531,268.132
75,"SOAFFAD12A8C130310",282491,"Trumpet Evolution","ARNITNO1187FB555D3",22.81751,"Artemisa Cuba",-82.7603,"Arturo Sandoval",0.0,266.60526,0,0.397,61.018,1,0.273,"My Funny Valentine",2003,c5cda118-797f-4124-aef2-f1ada89d3408,0.0,0.561464646411,0.423527584809,4.795,0,0.397,-14.818,0,0.618,258.67
76,"SOKAWBI12AB018277B",455723,"Las Mejores Gaitas Vol.3","ARK71TS1187B9902B0",,"",,"Gaiteros de Pillopo",0.0,251.08853,9,0.561,179.665,1,0.0,"El Barbero",0,20338184-f9b1-4aad-9493-b9042bf2f86b,0.0,0.307211096291,0.138639716654,0.374,9,0.561,-8.173,1,0.52,245.359
